start_date,end_date,category,start,stop,miles,purpose,reject_reason
03-03-2016 09:45,03-03-2016 09:52,Personal,Whitebridge,Westpark Place,2.2,,Missing required fields
03-05-2016 12:57,03-05-2016 13:12,Personal,Weston,Weston,4.2,,Missing required fields
03-05-2016 14:08,03-05-2016 14:18,Personal,Morrisville,Cary,3.5,,Missing required fields
03-08-2016 16:13,03-08-2016 16:25,Personal,Whitebridge,Whitebridge,1.6,,Missing required fields
03-10-2016 14:39,03-10-2016 14:55,Business,West University,South Congress,2.3,,Missing required fields
03-10-2016 16:18,03-10-2016 16:28,Business,South Congress,Arts District,1.6,,Missing required fields
03-11-2016 10:29,03-11-2016 10:36,Business,Congress Ave District,Downtown,0.8,,Missing required fields
03-11-2016 11:57,03-11-2016 12:04,Business,Downtown,Red River District,1.2,,Missing required fields
03-11-2016 13:43,03-11-2016 13:51,Business,Red River District,Downtown,1.0,,Missing required fields
03-11-2016 19:21,03-11-2016 19:35,Business,South Congress,The Drag,2.1,,Missing required fields
03-12-2016 09:13,03-12-2016 09:22,Business,The Drag,South Congress,2.2,,Missing required fields
03-12-2016 18:27,03-12-2016 18:37,Personal,South Congress,The Drag,1.9,,Missing required fields
3/13/2016 22:19,3/13/2016 22:39,Business,Coxville,The Drag,12.5,,Missing required fields
3/14/2016 18:39,3/14/2016 18:55,Business,South Congress,The Drag,2.7,,Missing required fields
3/16/2016 14:44,3/16/2016 14:55,Business,Convention Center District,West University,2.0,,Missing required fields
3/17/2016 0:33,3/17/2016 0:44,Personal,Downtown,The Drag,1.7,,Missing required fields
3/17/2016 18:47,3/17/2016 19:09,Personal,Houston,Houston,4.9,,Missing required fields
3/17/2016 20:57,3/17/2016 21:28,Personal,Houston,Houston,12.6,,Missing required fields
3/17/2016 21:48,3/17/2016 22:04,Personal,Sharpstown,Midtown,10.4,,Missing required fields
3/19/2016 17:52,3/19/2016 18:00,Business,Port Bolivar,Port Bolivar,1.2,,Missing required fields
3/20/2016 17:08,3/20/2016 17:34,Business,Midtown,Sharpstown,10.4,,Missing required fields
3/20/2016 18:34,3/20/2016 18:40,Personal,Sharpstown,Briar Meadow,1.2,,Missing required fields
3/21/2016 10:21,3/21/2016 10:26,Personal,Midtown,Downtown,1.0,,Missing required fields
3/21/2016 18:59,3/21/2016 19:15,Business,Midtown,Sharpstown,8.8,,Missing required fields
3/22/2016 12:06,3/22/2016 12:24,Personal,Morrisville,Cary,8.1,,Missing required fields
3/22/2016 19:12,3/22/2016 19:25,Personal,Whitebridge,Whitebridge,1.4,,Missing required fields
3/23/2016 14:37,3/23/2016 14:42,Personal,Whitebridge,Preston,1.7,,Missing required fields
3/23/2016 14:53,3/23/2016 14:59,Personal,Preston,Whitebridge,1.6,,Missing required fields
3/24/2016 19:47,3/24/2016 19:54,Personal,Whitebridge,Westpark Place,2.0,,Missing required fields
3/24/2016 20:34,3/24/2016 20:40,Business,Westpark Place,Whitebridge,2.2,,Missing required fields
3/26/2016 14:05,3/26/2016 14:29,Personal,Couples Glen,Isles of Buena Vista,6.7,,Missing required fields
3/26/2016 15:19,3/26/2016 15:49,Personal,Kissimmee,Orlando,8.8,,Missing required fields
3/26/2016 16:26,3/26/2016 16:30,Personal,Lake Reams,Lake Reams,1.2,,Missing required fields
3/27/2016 21:26,3/27/2016 21:41,Personal,Orlando,Orlando,6.9,,Missing required fields
3/27/2016 23:04,3/27/2016 23:18,Personal,Orlando,Kissimmee,7.3,,Missing required fields
3/28/2016 12:29,3/28/2016 12:42,Personal,Kissimmee,Orlando,3.6,,Missing required fields
3/28/2016 19:30,3/28/2016 20:23,Personal,Couples Glen,Vista East,27.2,,Missing required fields
3/28/2016 22:55,3/28/2016 23:26,Personal,Orlando,Kissimmee,25.7,,Missing required fields
3/29/2016 15:27,3/29/2016 16:11,Personal,Kissimmee,Orlando,13.6,,Missing required fields
3/29/2016 18:20,3/29/2016 18:39,Personal,Sand Lake Commons,Sky Lake,6.2,,Missing required fields
3/29/2016 20:29,3/29/2016 20:44,Personal,Sky Lake,Sand Lake Commons,6.0,,Missing required fields
3/29/2016 23:04,3/29/2016 23:21,Personal,Orlando,Kissimmee,13.8,,Missing required fields
04-01-2016 16:52,04-01-2016 16:57,Personal,Kissimmee,Kissimmee,0.7,,Missing required fields
04-02-2016 08:48,04-02-2016 09:04,Personal,Kissimmee,Kissimmee,5.5,,Missing required fields
04-02-2016 11:01,04-02-2016 11:16,Personal,Kissimmee,Kissimmee,5.1,,Missing required fields
4/30/2016 22:16,4/30/2016 22:34,Business,Waverly Place,Whitebridge,6.8,,Missing required fields
05-01-2016 14:26,05-01-2016 14:31,Business,Westpark Place,Whitebridge,2.3,,Missing required fields
5/27/2016 20:47,5/27/2016 20:53,Business,Savon Height,Kilarney Woods,1.2,,Missing required fields
5/31/2016 17:50,5/31/2016 17:59,Business,Westpark Place,Whitebridge,1.8,,Missing required fields
06-11-2016 17:50,06-11-2016 17:56,Business,Westpark Place,Whitebridge,1.7,,Missing required fields
6/14/2016 12:03,6/14/2016 12:21,Business,Emeryville,San Francisco,9.8,,Missing required fields
6/15/2016 17:29,6/15/2016 17:49,Personal,Lakeview,Storyville,5.5,,Missing required fields
6/16/2016 13:36,6/16/2016 14:30,Business,New Orleans,Metairie,14.5,,Missing required fields
6/16/2016 14:42,6/16/2016 14:46,Business,Metairie,Kenner,2.7,,Missing required fields
6/16/2016 15:17,6/16/2016 15:41,Business,Kenner,New Orleans,15.0,,Missing required fields
6/16/2016 19:39,6/16/2016 19:56,Business,New Orleans,Kenner,12.9,,Missing required fields
6/16/2016 21:43,6/16/2016 21:56,Business,Kenner,New Orleans,13.6,,Missing required fields
6/17/2016 16:11,6/17/2016 16:44,Business,New Orleans,Kenner,12.2,,Missing required fields
6/18/2016 0:29,6/18/2016 0:51,Business,Morrisville,Cary,8.7,,Missing required fields
6/19/2016 2:39,6/19/2016 2:50,Business,Cary,Raleigh,6.0,,Missing required fields
6/19/2016 5:51,6/19/2016 6:00,Business,Raleigh,Cary,5.9,,Missing required fields
6/21/2016 15:39,6/21/2016 16:08,Business,Cary,Raleigh,19.3,,Missing required fields
6/24/2016 20:44,6/24/2016 21:02,Business,Kenner,New Orleans,12.8,,Missing required fields
6/25/2016 9:03,6/25/2016 9:12,Business,CBD,Bywater,4.5,,Missing required fields
6/25/2016 19:47,6/25/2016 19:58,Business,Storyville,Marigny,1.6,,Missing required fields
6/25/2016 23:19,6/25/2016 23:26,Business,Marigny,Storyville,1.5,,Missing required fields
6/26/2016 18:45,6/26/2016 19:12,Business,Pontchartrain Shores,Pontchartrain Shores,4.8,,Missing required fields
